timestamp,close,action,contracts_before,contracts_after,delta_contracts,turnover,buy_units,sell_units,buy_cost_vnd,sell_fixed_cost_vnd,sell_tax_cost_vnd,total_cost_vnd,cost_points
2026-06-30T10:05:00,2005.0,sell,0,-2,-2,2.0,0.0,2.0,0.0,20800.0,74104.8,94904.8,0.949048
2026-06-30T10:15:00,2006.8,buy,-2,-1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T10:20:00,2007.0,buy,-1,0,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T10:25:00,2008.9,buy,0,1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T10:30:00,2007.5,buy,1,2,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T10:35:00,2007.2,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T10:40:00,2008.0,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37107.840000000004,47507.840000000004,0.4750784
2026-06-30T10:45:00,2007.4,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T13:00:00,2008.6,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37118.928,47518.928,0.47518928
2026-06-30T13:05:00,2009.6,sell,2,1,-1,1.0,0.0,1.0,0.0,10400.0,37137.407999999996,47537.407999999996,0.47537408
2026-06-30T13:20:00,2007.7,sell,1,0,-1,1.0,0.0,1.0,0.0,10400.0,37102.296,47502.296,0.47502296
2026-06-30T13:45:00,2006.7,sell,0,-2,-2,2.0,0.0,2.0,0.0,20800.0,74167.632,94967.632,0.94967632
2026-06-30T14:15:00,2000.0,buy,-2,-1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-06-30T14:20:00,1998.3,buy,-1,0,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-01T09:35:00,2007.0,buy,0,4,4,4.0,4.0,0.0,41600.0,0.0,0.0,41600.0,0.416
2026-07-01T10:25:00,2012.7,sell,4,2,-2,2.0,0.0,2.0,0.0,20800.0,74389.392,95189.392,0.9518939200000001
2026-07-01T10:30:00,2012.8,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-01T10:40:00,2014.0,buy,3,4,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-01T11:10:00,2013.3,sell,4,3,-1,1.0,0.0,1.0,0.0,10400.0,37205.784,47605.784,0.47605784
2026-07-01T13:00:00,2015.9,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37253.832,47653.832,0.47653832
2026-07-01T13:50:00,2013.2,sell,2,1,-1,1.0,0.0,1.0,0.0,10400.0,37203.936,47603.936,0.47603936
2026-07-01T14:10:00,2014.8,buy,1,2,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-01T14:20:00,2014.0,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-01T14:25:00,2014.8,sell,3,0,-3,3.0,0.0,3.0,0.0,31200.0,111700.512,142900.512,1.4290051199999998
2026-07-02T09:25:00,2020.6,buy,0,2,2,2.0,2.0,0.0,20800.0,0.0,0.0,20800.0,0.208
2026-07-02T09:30:00,2020.0,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-02T09:40:00,2016.1,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37257.528,47657.528,0.47657528
2026-07-02T09:45:00,2015.5,sell,2,1,-1,1.0,0.0,1.0,0.0,10400.0,37246.44,47646.44,0.4764644
2026-07-02T09:50:00,2015.2,sell,1,0,-1,1.0,0.0,1.0,0.0,10400.0,37240.896,47640.896,0.47640896
2026-07-02T09:55:00,2016.5,sell,0,-3,-3,3.0,0.0,3.0,0.0,31200.0,111794.76,142994.76,1.4299476
2026-07-02T10:05:00,2015.4,buy,-3,0,3,3.0,3.0,0.0,31200.0,0.0,0.0,31200.0,0.312
2026-07-02T10:30:00,2013.2,buy,0,1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-02T10:35:00,2013.7,sell,1,0,-1,1.0,0.0,1.0,0.0,10400.0,37213.176,47613.176,0.47613176
2026-07-02T10:45:00,2014.7,sell,0,-2,-2,2.0,0.0,2.0,0.0,20800.0,74463.312,95263.312,0.95263312
2026-07-02T10:55:00,2018.3,buy,-2,-1,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-02T11:00:00,2017.1,buy,-1,0,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-02T11:05:00,2017.3,buy,0,2,2,2.0,2.0,0.0,20800.0,0.0,0.0,20800.0,0.208
2026-07-02T13:00:00,2014.0,buy,2,3,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-02T13:05:00,2013.7,sell,3,2,-1,1.0,0.0,1.0,0.0,10400.0,37213.176,47613.176,0.47613176
2026-07-02T13:10:00,2014.4,sell,2,1,-1,1.0,0.0,1.0,0.0,10400.0,37226.112,47626.112,0.47626112
2026-07-02T13:15:00,2014.2,sell,1,0,-1,1.0,0.0,1.0,0.0,10400.0,37222.416000000005,47622.416000000005,0.47622416000000006
2026-07-02T13:30:00,2013.6,sell,0,-2,-2,2.0,0.0,2.0,0.0,20800.0,74422.656,95222.656,0.95222656
2026-07-02T13:35:00,2013.6,sell,-2,-3,-1,1.0,0.0,1.0,0.0,10400.0,37211.328,47611.328,0.47611328
2026-07-02T13:50:00,2008.5,buy,-3,-2,1,1.0,1.0,0.0,10400.0,0.0,0.0,10400.0,0.104
2026-07-02T14:15:00,2008.8,sell,-2,-3,-1,1.0,0.0,1.0,0.0,10400.0,37122.624,47522.624,0.47522624
2026-07-02T14:20:00,2012.5,sell,-3,-4,-1,1.0,0.0,1.0,0.0,10400.0,37191.0,47591.0,0.47591
2026-07-02T14:25:00,2011.7,buy,-4,0,4,4.0,4.0,0.0,41600.0,0.0,0.0,41600.0,0.416
