timestamp,close,raw_signal,processed_signal,regime_probability,target_normalized_position,current_contracts_before,target_contracts,delta_contracts,trade_allowed,dry_run
2026-06-26T10:20:00,1999.2,0.36975398659706116,0.4611785387547953,0.06849902123212814,0.4611785387547953,4,2,-2,True,True
2026-06-26T10:25:00,1998.5,0.6191600561141968,0.6741723058382493,0.08532481640577316,0.6741723058382493,2,3,1,True,True
2026-06-26T10:30:00,1997.3,0.78743577003479,0.8016255072834904,0.1025465577840805,0.8016255072834904,3,4,1,True,True
2026-06-26T10:35:00,1993.8,0.8852431774139404,0.8667403226724585,0.12571926414966583,0.8667403226724585,4,4,0,True,True
2026-06-26T10:40:00,1994.1,0.8709413409233093,0.8527150681840862,0.1354295015335083,0.8527150681840862,4,4,0,True,True
2026-06-26T10:45:00,1995.0,0.7991728186607361,0.7915423484881218,0.1588263064622879,0.7915423484881218,4,4,0,True,True
2026-06-26T10:50:00,1994.7,0.7815248370170593,0.7711099426482881,0.18074114620685577,0.7711099426482881,4,4,0,True,True
2026-06-26T10:55:00,1994.5,0.7890511751174927,0.7691552082958435,0.20318976044654846,0.7691552082958435,4,4,0,True,True
2026-06-26T11:00:00,1995.0,0.7759720087051392,0.7548158759872486,0.21757511794567108,0.7548158759872486,4,4,0,True,True
2026-06-26T11:05:00,1993.4,0.8178339004516602,0.7776803541088593,0.23930327594280243,0.7776803541088593,4,4,0,True,True
2026-06-26T11:10:00,1994.4,0.7698317766189575,0.740107718460783,0.2486756592988968,0.740107718460783,4,4,0,True,True
2026-06-26T11:15:00,1993.6,0.7623163461685181,0.725455280195791,0.27695000171661377,0.725455280195791,4,4,0,True,True
2026-06-26T11:20:00,1993.5,0.7283092141151428,0.6950899754814902,0.29583460092544556,0.6950899754814902,4,3,-1,True,True
2026-06-26T11:25:00,1992.7,0.7100776433944702,0.6735011100673585,0.3232981562614441,0.6735011100673585,3,3,0,True,True
2026-06-26T11:25:00,1992.7,0.7100776433944702,0.6735011100673585,0.3232981562614441,0.6735011100673585,0,3,3,True,True
2026-06-26T13:00:00,1997.6,0.33780813217163086,0.381828324744448,0.34570300579071045,0.381828324744448,3,2,-1,True,True
2026-06-26T13:05:00,1997.3,0.31844547390937805,0.3581352674131715,0.3879179358482361,0.3581352674131715,2,2,0,True,True
2026-06-26T13:10:00,1998.0,0.2997605800628662,0.3367662935831497,0.42179811000823975,0.3367662935831497,2,2,0,True,True
2026-06-26T13:15:00,1998.0,0.24619624018669128,0.2830089913941844,0.4756799340248108,0.2830089913941844,2,1,-1,True,True
2026-06-26T13:20:00,2001.3,0.08897057175636292,0.1307146749793924,0.49400627613067627,0.1307146749793924,1,1,0,True,True
2026-06-26T13:25:00,2001.9,0.06506746262311935,0.0,0.5383172631263733,0.0,1,0,-1,True,True
2026-06-26T13:30:00,2002.0,0.04723794013261795,0.0,0.5836014151573181,0.0,0,0,0,True,True
2026-06-26T13:35:00,2000.2,0.06788864731788635,0.0,0.6373539566993713,0.0,0,0,0,True,True
