round_trip_cost_points,net_total_return,net_sharpe,net_max_drawdown,net_profit_factor,net_average_trade_pnl,window,model
,-0.43260784198431623,-2.9881313394297178,-0.6112181421248466,0.2276881957450872,-2.7498980144143994,wf_4_2023-01-01_2023-06-30,tsmom_48
,-0.36021223734140595,-2.1639070629877577,-0.5496691889156924,0.20573485326252042,-2.9048977928571493,wf_4_2023-01-01_2023-06-30,tsmom_78
,-0.4294896251532636,-2.9389845541667947,-0.6177300307000466,0.18731168332119874,-2.9150176727828723,wf_4_2023-01-01_2023-06-30,ema_cross_8_24
,-0.4294896251532636,-2.9389845541667947,-0.6177300307000466,0.18731168332119874,-2.9150176727828723,wf_4_2023-01-01_2023-06-30,macd_8_24
,-0.26544804975891223,-1.2396326490740142,-0.4583911524133738,0.33242900743136355,-2.1373446995555296,wf_4_2023-01-01_2023-06-30,ema_cross_16_48
,-0.26544804975891223,-1.2396326490740142,-0.4583911524133738,0.33242900743136355,-2.1373446995555296,wf_4_2023-01-01_2023-06-30,macd_16_48
,0.10316802392780033,1.422249993526133,-0.3938642924343202,0.47966211676511866,-1.4411038144578279,wf_4_2023-01-01_2023-06-30,ema_cross_32_96
,0.10316802392780033,1.422249993526133,-0.3938642924343202,0.47966211676511866,-1.4411038144578279,wf_4_2023-01-01_2023-06-30,macd_32_96
,0.0032843944527547464,0.8419887369883979,-0.013222514343254166,0.18004938813553062,-0.33986871777778027,wf_4_2023-01-01_2023-06-30,lstm_dmn
,0.057552816601005974,1.3086654102380415,-0.21579341546998465,1.0076098306269223,0.0068127299013818286,wf_4_2023-01-01_2023-06-30,decoder_transformer
,-0.10504301944211059,-2.3724028684795875,-0.22195893671290057,0.9157333780174012,-0.06714402924316182,wf_4_2023-01-01_2023-06-30,decoder_tft
,-0.5080783428126359,-2.9669634141202543,-0.7069095989293652,0.6375612251894549,-1.139152995312497,wf_5_2023-06-30_2023-12-29,long_only
,-0.52651587563093,-3.4052159352250455,-0.5593415193404536,0.13431974249295367,-3.3644555069645206,wf_5_2023-06-30_2023-12-29,tsmom_12
,-0.532698398507903,-3.454466323590076,-0.5899233683669419,0.15336851522327705,-3.3358192457831404,wf_5_2023-06-30_2023-12-29,tsmom_24
,-0.4549895261086042,-2.578778033634109,-0.6212472792103297,0.25044811684764007,-3.1309910181318927,wf_5_2023-06-30_2023-12-29,tsmom_48
,0.022888401776919975,0.9881213690504054,-0.41064892386873697,0.26498391523243625,-2.9428853717948695,wf_5_2023-06-30_2023-12-29,tsmom_78
